,BuildingType,PrimaryPropertyType,YearBuilt,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,Neighborhood,NumberofBuildings,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance,Autre,Bureau,Commercial,Hotel / Restaurant,Industrial,Loisirs,Public,Residential,Santé,Scolaire,Service,industrial
1887,NonResidential,Industrial,1963,1,31900,Industrial,GREATER DUWAMISH,1.0,,1964681.25,13.7,6.743567393241152,0,0,0,0,1,0,0,0,0,0,0,0
1889,NonResidential,Autre,1917,1,49066,Loisirs,SOUTHWEST,1.0,,3835202.0,178.86,9.370572276973043,0,0,0,0,0,1,0,0,0,0,0,0
1890,NonResidential,Autre,1952,3,30740,Autre,SOUTHWEST,1.0,,1686262.25,61.3,9.448226730295291,1,0,0,0,0,0,0,0,0,0,0,0
1893,NonResidential,Commercial,1959,1,67450,Commercial,SOUTHEAST,1.0,97.0,2842819.5,55.86,10.825313518961233,0,0,1,0,0,0,0,0,0,0,0,0
1894,SPS-District K-12,Scolaire,1958,1,39971,Scolaire,BALLARD,1.0,,0.0,50.22,10.622779859619358,0,0,0,0,0,0,0,0,0,1,0,0
1897,NonResidential,Industrial,1948,1,46970,Industrial,MAGNOLIA / QUEEN ANNE,1.0,,882896.5,6.16,6.259348505278768,0,0,0,0,1,0,0,0,0,0,0,0
1898,NonResidential,Industrial,1931,1,47554,Industrial,MAGNOLIA / QUEEN ANNE,1.0,,1035554.688,16.04,3.8633792315154,0,0,0,0,1,0,0,0,0,0,0,0
1899,NonResidential,Bureau,1979,2,43016,Bureau,MAGNOLIA / QUEEN ANNE,1.0,100.0,1234095.5,60.57,3.566817313595745,0,1,0,0,0,0,0,0,0,0,0,0
1900,NonResidential,Autre,1931,1,24196,Autre,MAGNOLIA / QUEEN ANNE,1.0,,1055033.0,22.29,3.5327679025650762,1,0,0,0,0,0,0,0,0,0,0,0
1901,NonResidential,Bureau,1940,2,20671,Bureau,MAGNOLIA / QUEEN ANNE,1.0,98.0,638507.125,24.76,3.615891266613857,0,1,0,0,0,0,0,0,0,0,0,0
